

1-Month Net Change
Series Id:    SMS01000000600000001

Seasonally Adjusted
State:        Alabama
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS02000000600000001,2016,M01,-0.7
SMS02000000600000001,2016,M02,0.1
SMS02000000600000001,2016,M03,-0.3
SMS02000000600000001,2016,M04,-0.7
SMS02000000600000001,2016,M05,-1.2
SMS02000000600000001,2016,M06,-0.7
SMS02000000600000001,2016,M07,0.3
SMS02000000600000001,2016,M08,-1.1
SMS02000000600000001,2016,M09,-1.6
SMS02000000600000001,2016,M10,1.1
SMS02000000600000001,2016,M11,-0.3
SMS02000000600000001,2016,M12,-0.2
SMS02000000600000001,2017,M01,-1.9
SMS02000000600000001,2017,M02,1.5
SMS02000000600000001,2017,M03,-0.2
SMS02000000600000001,2017,M04,-0.5
SMS02000000600000001,2017,M05,-0.1
SMS02000000600000001,2017,M06,0.8
SMS02000000600000001,2017,M07,-0.3
SMS02000000600000001,2017,M08,0.1
SMS02000000600000001,2017,M09,-0.4
SMS02000000600000001,2017,M10,1.0
SMS02000000600000001,2017,M11,-2.1
SMS02000000600000001,2017,M12,0.9
SMS02000000600000001,2018,M01,0.2
SMS02000000600000001,2018,M02,0.9
SMS02000000600000001,2018,M03,0.5
SMS02000000600000001,2018,M04,0.3
SMS02000000600000001,2018,M05,-0.2
SMS02000000600000001,2018,M06,-1.0
SMS02000000600000001,2018,M07,-0.3
SMS02000000600000001,2018,M08,0.0(P)

P : Preliminary


1-Month Net Change
Series Id:    SMS02000000700000001

Seasonally Adjusted
State:        Alaska
Area:         Statewide
Supersector:  Service-Providing
Industry:     Service-Providing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS02000000700000001,2000,M01,0.8
SMS02000000700000001,2000,M02,0.1
SMS02000000700000001,2000,M03,1.4
SMS02000000700000001,2000,M04,-1.1
SMS02000000700000001,2000,M05,0.8
SMS02000000700000001,2000,M06,0.1
SMS02000000700000001,2000,M07,0.6
SMS02000000700000001,2000,M08,0.0
SMS02000000700000001,2000,M09,-0.9
SMS02000000700000001,2000,M10,1.5
SMS02000000700000001,2000,M11,0.1
SMS02000000700000001,2000,M12,1.0
SMS02000000700000001,2001,M01,-0.8
SMS02000000700000001,2001,M02,0.6
SMS02000000700000001,2001,M03,0.0
SMS02000000700000001,2001,M04,1.6
SMS02000000700000001,2001,M05,0.4
SMS02000000700000001,2001,M06,0.6
SMS02000000700000001,2001,M07,1.3
SMS02000000700000001,2001,M08,0.7
SMS02000000700000001,2001,M09,-0.6
SMS02000000700000001,2001,M10,0.5
SMS02000000700000001,2001,M11,-0.5
SMS02000000700000001,2001,M12,-0.6
SMS02000000700000001,2002,M01,1.2
SMS02000000700000001,2002,M02,1.8
SMS02000000700000001,2002,M03,0.6
SMS02000000700000001,2002,M04,0.6
SMS02000000700000001,2002,M05,-0.4
SMS02000000700000001,2002,M06,1.0
SMS02000000700000001,2002,M07,0.1
SMS02000000700000001,2002,M08,0.9
SMS02000000700000001,2002,M09,-0.1
SMS02000000700000001,2002,M10,1.8
SMS02000000700000001,2002,M11,-0.3
SMS02000000700000001,2002,M12,0.5
SMS02000000700000001,2003,M01,-0.1
SMS02000000700000001,2003,M02,0.0
SMS02000000700000001,2003,M03,0.4
SMS02000000700000001,2003,M04,0.1
SMS02000000700000001,2003,M05,0.6
SMS02000000700000001,2003,M06,-0.2
SMS02000000700000001,2003,M07,-0.6
SMS02000000700000001,2003,M08,0.7
SMS02000000700000001,2003,M09,1.0
SMS02000000700000001,2003,M10,-0.7
SMS02000000700000001,2003,M11,0.4
SMS02000000700000001,2003,M12,1.2
SMS02000000700000001,2004,M01,-0.4
SMS02000000700000001,2004,M02,-0.4
SMS02000000700000001,2004,M03,1.5
SMS02000000700000001,2004,M04,-0.2
SMS02000000700000001,2004,M05,-0.9
SMS02000000700000001,2004,M06,0.7
SMS02000000700000001,2004,M07,1.1
SMS02000000700000001,2004,M08,0.5
SMS02000000700000001,2004,M09,0.7
SMS02000000700000001,2004,M10,1.7
SMS02000000700000001,2004,M11,-1.0
SMS02000000700000001,2004,M12,1.0
SMS02000000700000001,2005,M01,-0.4
SMS02000000700000001,2005,M02,-0.1
SMS02000000700000001,2005,M03,0.1
SMS02000000700000001,2005,M04,0.5
SMS02000000700000001,2005,M05,0.5
SMS02000000700000001,2005,M06,-0.3
SMS02000000700000001,2005,M07,1.6
SMS02000000700000001,2005,M08,0.0
SMS02000000700000001,2005,M09,-0.3
SMS02000000700000001,2005,M10,0.3
SMS02000000700000001,2005,M11,0.2
SMS02000000700000001,2005,M12,-0.8
SMS02000000700000001,2006,M01,-0.2
SMS02000000700000001,2006,M02,1.9
SMS02000000700000001,2006,M03,1.0
SMS02000000700000001,2006,M04,0.3
SMS02000000700000001,2006,M05,0.5
SMS02000000700000001,2006,M06,1.8
SMS02000000700000001,2006,M07,-2.3
SMS02000000700000001,2006,M08,0.6
SMS02000000700000001,2006,M09,0.2
SMS02000000700000001,2006,M10,-1.9
SMS02000000700000001,2006,M11,1.3
SMS02000000700000001,2006,M12,0.4
SMS02000000700000001,2007,M01,0.2
SMS02000000700000001,2007,M02,1.2
SMS02000000700000001,2007,M03,0.4
SMS02000000700000001,2007,M04,-0.6
SMS02000000700000001,2007,M05,1.1
SMS02000000700000001,2007,M06,-0.5
SMS02000000700000001,2007,M07,-1.4
SMS02000000700000001,2007,M08,0.9
SMS02000000700000001,2007,M09,0.0
SMS02000000700000001,2007,M10,-0.1
SMS02000000700000001,2007,M11,0.4
SMS02000000700000001,2007,M12,0.1
SMS02000000700000001,2008,M01,2.6
SMS02000000700000001,2008,M02,-1.1
SMS02000000700000001,2008,M03,0.0
SMS02000000700000001,2008,M04,0.7
SMS02000000700000001,2008,M05,1.0
SMS02000000700000001,2008,M06,0.2
SMS02000000700000001,2008,M07,0.6
SMS02000000700000001,2008,M08,-0.3
SMS02000000700000001,2008,M09,-0.1
SMS02000000700000001,2008,M10,-0.5
SMS02000000700000001,2008,M11,0.1
SMS02000000700000001,2008,M12,0.5
SMS02000000700000001,2009,M01,-1.0
SMS02000000700000001,2009,M02,0.1
SMS02000000700000001,2009,M03,-0.4
SMS02000000700000001,2009,M04,0.2
SMS02000000700000001,2009,M05,-0.3
SMS02000000700000001,2009,M06,-0.1
SMS02000000700000001,2009,M07,0.3
SMS02000000700000001,2009,M08,0.3
SMS02000000700000001,2009,M09,1.3
SMS02000000700000001,2009,M10,0.7
SMS02000000700000001,2009,M11,-0.8
SMS02000000700000001,2009,M12,-0.2
SMS02000000700000001,2010,M01,0.5
SMS02000000700000001,2010,M02,-0.2
SMS02000000700000001,2010,M03,0.3
SMS02000000700000001,2010,M04,1.3
SMS02000000700000001,2010,M05,0.5
SMS02000000700000001,2010,M06,1.5
SMS02000000700000001,2010,M07,0.4
SMS02000000700000001,2010,M08,-0.3
SMS02000000700000001,2010,M09,0.7
SMS02000000700000001,2010,M10,1.3
SMS02000000700000001,2010,M11,-0.2
SMS02000000700000001,2010,M12,0.4
SMS02000000700000001,2011,M01,1.3
SMS02000000700000001,2011,M02,-1.1
SMS02000000700000001,2011,M03,0.1
SMS02000000700000001,2011,M04,0.1
SMS02000000700000001,2011,M05,-0.7
SMS02000000700000001,2011,M06,1.2
SMS02000000700000001,2011,M07,0.0
SMS02000000700000001,2011,M08,-0.7
SMS02000000700000001,2011,M09,1.4
SMS02000000700000001,2011,M10,1.0
SMS02000000700000001,2011,M11,0.0
SMS02000000700000001,2011,M12,0.1
SMS02000000700000001,2012,M01,-0.4
SMS02000000700000001,2012,M02,1.7
SMS02000000700000001,2012,M03,0.6
SMS02000000700000001,2012,M04,-0.9
SMS02000000700000001,2012,M05,-0.1
SMS02000000700000001,2012,M06,0.4
SMS02000000700000001,2012,M07,-0.3
SMS02000000700000001,2012,M08,-0.4
SMS02000000700000001,2012,M09,1.1
SMS02000000700000001,2012,M10,3.4
SMS02000000700000001,2012,M11,-2.2
SMS02000000700000001,2012,M12,0.2
SMS02000000700000001,2013,M01,-1.9
SMS02000000700000001,2013,M02,1.8
SMS02000000700000001,2013,M03,-0.2
SMS02000000700000001,2013,M04,-0.1
SMS02000000700000001,2013,M05,-1.3
SMS02000000700000001,2013,M06,1.1
SMS02000000700000001,2013,M07,-0.6
SMS02000000700000001,2013,M08,0.5
SMS02000000700000001,2013,M09,-0.8
SMS02000000700000001,2013,M10,0.2
SMS02000000700000001,2013,M11,0.5
SMS02000000700000001,2013,M12,-0.5
SMS02000000700000001,2014,M01,0.1
SMS02000000700000001,2014,M02,-0.4
SMS02000000700000001,2014,M03,0.9
SMS02000000700000001,2014,M04,-0.3
SMS02000000700000001,2014,M05,0.6
SMS02000000700000001,2014,M06,-1.0
SMS02000000700000001,2014,M07,1.0
SMS02000000700000001,2014,M08,-0.3
SMS02000000700000001,2014,M09,-0.5
SMS02000000700000001,2014,M10,1.2
SMS02000000700000001,2014,M11,-0.5
SMS02000000700000001,2014,M12,0.5
SMS02000000700000001,2015,M01,1.3
SMS02000000700000001,2015,M02,-0.6
SMS02000000700000001,2015,M03,0.4
SMS02000000700000001,2015,M04,-1.3
SMS02000000700000001,2015,M05,1.4
SMS02000000700000001,2015,M06,-0.7
SMS02000000700000001,2015,M07,0.4
SMS02000000700000001,2015,M08,-0.9
SMS02000000700000001,2015,M09,0.2
SMS02000000700000001,2015,M10,-0.1
SMS02000000700000001,2015,M11,0.1
SMS02000000700000001,2015,M12,-0.2
SMS02000000700000001,2016,M01,0.0
SMS02000000700000001,2016,M02,-0.4
SMS02000000700000001,2016,M03,0.3
SMS02000000700000001,2016,M04,1.2
SMS02000000700000001,2016,M05,-0.3
SMS02000000700000001,2016,M06,-1.2
SMS02000000700000001,2016,M07,0.0
SMS02000000700000001,2016,M08,0.2
SMS02000000700000001,2016,M09,-0.4
SMS02000000700000001,2016,M10,-0.3
SMS02000000700000001,2016,M11,-0.1
SMS02000000700000001,2016,M12,0.3
SMS02000000700000001,2017,M01,0.1
SMS02000000700000001,2017,M02,0.2
SMS02000000700000001,2017,M03,-0.4
SMS02000000700000001,2017,M04,-0.2
SMS02000000700000001,2017,M05,0.5
SMS02000000700000001,2017,M06,-0.6
SMS02000000700000001,2017,M07,-0.7
SMS02000000700000001,2017,M08,0.2
SMS02000000700000001,2017,M09,-0.5
SMS02000000700000001,2017,M10,-0.4
SMS02000000700000001,2017,M11,-0.5
SMS02000000700000001,2017,M12,-0.9
SMS02000000700000001,2018,M01,1.0
SMS02000000700000001,2018,M02,0.4
SMS02000000700000001,2018,M03,-0.5
SMS02000000700000001,2018,M04,-0.1
SMS02000000700000001,2018,M05,-0.3
SMS02000000700000001,2018,M06,-0.5
SMS02000000700000001,2018,M07,-0.6
SMS02000000700000001,2018,M08,0.0(P)

P : Preliminary


1-Month Net Change
Series Id:    SMS04000000600000001

Seasonally Adjusted
State:        Arizona
Area:         Statewide
Supersector:  Goods Producing
Industry:     Goods Producing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS04000000600000001,2000,M01,0.0
SMS04000000600000001,2000,M02,1.5
SMS04000000600000001,2000,M03,0.4
SMS04000000600000001,2000,M04,1.2
SMS04000000600000001,2000,M05,0.5
SMS04000000600000001,2000,M06,2.2
SMS04000000600000001,2000,M07,0.0
SMS04000000600000001,2000,M08,1.8
SMS04000000600000001,2000,M09,2.2
SMS04000000600000001,2000,M10,-0.1
SMS04000000600000001,2000,M11,1.3
SMS04000000600000001,2000,M12,1.7
SMS04000000600000001,2001,M01,-3.3
SMS04000000600000001,2001,M02,0.2
SMS04000000600000001,2001,M03,1.5
SMS04000000600000001,2001,M04,-2.4
SMS04000000600000001,2001,M05,-1.2
SMS04000000600000001,2001,M06,-2.5
SMS04000000600000001,2001,M07,-0.5
SMS04000000600000001,2001,M08,-2.1
SMS04000000600000001,2001,M09,-2.8
SMS04000000600000001,2001,M10,-3.5
SMS04000000600000001,2001,M11,-3.6
SMS04000000600000001,2001,M12,-3.6
SMS04000000600000001,2002,M01,-0.6
SMS04000000600000001,2002,M02,-1.5
SMS04000000600000001,2002,M03,-0.3
SMS04000000600000001,2002,M04,-1.0
SMS04000000600000001,2002,M05,-1.3
SMS04000000600000001,2002,M06,-1.1
SMS04000000600000001,2002,M07,-1.0
SMS04000000600000001,2002,M08,-0.7
SMS04000000600000001,2002,M09,-1.4
SMS04000000600000001,2002,M10,-1.0
SMS04000000600000001,2002,M11,-0.3
SMS04000000600000001,2002,M12,-1.5
SMS04000000600000001,2003,M01,0.9
SMS04000000600000001,2003,M02,-1.6
SMS04000000600000001,2003,M03,-0.7
SMS04000000600000001,2003,M04,0.8
SMS04000000600000001,2003,M05,-0.1
SMS04000000600000001,2003,M06,0.0
SMS04000000600000001,2003,M07,-0.7
SMS04000000600000001,2003,M08,0.1
SMS04000000600000001,2003,M09,1.5
SMS04000000600000001,2003,M10,2.2
SMS04000000600000001,2003,M11,1.8
SMS04000000600000001,2003,M12,1.7
SMS04000000600000001,2004,M01,2.0
SMS04000000600000001,2004,M02,1.9
SMS04000000600000001,2004,M03,0.9
SMS04000000600000001,2004,M04,0.4
SMS04000000600000001,2004,M05,1.9
SMS04000000600000001,2004,M06,2.4
SMS04000000600000001,2004,M07,2.2
SMS04000000600000001,2004,M08,0.9
SMS04000000600000001,2004,M09,2.9
SMS04000000600000001,2004,M10,6.3
SMS04000000600000001,2004,M11,2.7
SMS04000000600000001,2004,M12,3.0
SMS04000000600000001,2005,M01,1.2
SMS04000000600000001,2005,M02,3.0
SMS04000000600000001,2005,M03,3.3
SMS04000000600000001,2005,M04,4.7
SMS04000000600000001,2005,M05,2.1
SMS04000000600000001,2005,M06,2.5
SMS04000000600000001,2005,M07,2.6
SMS04000000600000001,2005,M08,1.8
SMS04000000600000001,2005,M09,3.1
SMS04000000600000001,2005,M10,2.1
SMS04000000600000001,2005,M11,4.5
SMS04000000600000001,2005,M12,4.3
SMS04000000600000001,2006,M01,3.5
SMS04000000600000001,2006,M02,4.6
SMS04000000600000001,2006,M03,2.7
SMS04000000600000001,2006,M04,2.4
SMS04000000600000001,2006,M05,0.3
SMS04000000600000001,2006,M06,0.1
SMS04000000600000001,2006,M07,-1.6
SMS04000000600000001,2006,M08,-1.7
SMS04000000600000001,2006,M09,-1.4
SMS04000000600000001,2006,M10,-3.9
SMS04000000600000001,2006,M11,-3.2
SMS04000000600000001,2006,M12,-0.9
SMS04000000600000001,2007,M01,-1.5
SMS04000000600000001,2007,M02,0.7
SMS04000000600000001,2007,M03,-1.4
SMS04000000600000001,2007,M04,-4.2
SMS04000000600000001,2007,M05,-1.1
SMS04000000600000001,2007,M06,0.3
SMS04000000600000001,2007,M07,-2.3
SMS04000000600000001,2007,M08,-1.7
SMS04000000600000001,2007,M09,-3.0
SMS04000000600000001,2007,M10,-2.6
SMS04000000600000001,2007,M11,-4.6
SMS04000000600000001,2007,M12,-4.9
SMS04000000600000001,2008,M01,-2.9
SMS04000000600000001,2008,M02,-4.6
SMS04000000600000001,2008,M03,-4.1
SMS04000000600000001,2008,M04,-4.5
SMS04000000600000001,2008,M05,-4.2
SMS04000000600000001,2008,M06,-4.6
SMS04000000600000001,2008,M07,-4.8
SMS04000000600000001,2008,M08,-4.9
SMS04000000600000001,2008,M09,-4.6
SMS04000000600000001,2008,M10,-8.2
SMS04000000600000001,2008,M11,-8.4
SMS04000000600000001,2008,M12,-7.9
SMS04000000600000001,2009,M01,-10.0
SMS04000000600000001,2009,M02,-10.8
SMS04000000600000001,2009,M03,-7.4
SMS04000000600000001,2009,M04,-10.1
SMS04000000600000001,2009,M05,-4.2
SMS04000000600000001,2009,M06,-4.3
SMS04000000600000001,2009,M07,-4.7
SMS04000000600000001,2009,M08,-3.6
SMS04000000600000001,2009,M09,-3.7
SMS04000000600000001,2009,M10,-2.4
SMS04000000600000001,2009,M11,-1.2
SMS04000000600000001,2009,M12,-1.6
SMS04000000600000001,2010,M01,-1.4
SMS04000000600000001,2010,M02,0.0
SMS04000000600000001,2010,M03,-0.9
SMS04000000600000001,2010,M04,0.2
SMS04000000600000001,2010,M05,-0.8
SMS04000000600000001,2010,M06,-1.5
SMS04000000600000001,2010,M07,-0.6
SMS04000000600000001,2010,M08,-0.8
SMS04000000600000001,2010,M09,-0.6
SMS04000000600000001,2010,M10,2.0
SMS04000000600000001,2010,M11,1.1
SMS04000000600000001,2010,M12,0.3
SMS04000000600000001,2011,M01,-0.4
SMS04000000600000001,2011,M02,-1.1
SMS04000000600000001,2011,M03,0.6
SMS04000000600000001,2011,M04,-0.1
SMS04000000600000001,2011,M05,1.5
SMS04000000600000001,2011,M06,0.1
SMS04000000600000001,2011,M07,1.1
SMS04000000600000001,2011,M08,0.5
SMS04000000600000001,2011,M09,0.7
SMS04000000600000001,2011,M10,0.5
SMS04000000600000001,2011,M11,0.6
SMS04000000600000001,2011,M12,0.8
SMS04000000600000001,2012,M01,1.8
SMS04000000600000001,2012,M02,0.8
SMS04000000600000001,2012,M03,1.8
SMS04000000600000001,2012,M04,0.3
SMS04000000600000001,2012,M05,0.8
SMS04000000600000001,2012,M06,1.4
SMS04000000600000001,2012,M07,0.9
SMS04000000600000001,2012,M08,1.2
SMS04000000600000001,2012,M09,1.7
SMS04000000600000001,2012,M10,0.4
SMS04000000600000001,2012,M11,0.5
SMS04000000600000001,2012,M12,0.7
SMS04000000600000001,2013,M01,-0.3
SMS04000000600000001,2013,M02,1.0
SMS04000000600000001,2013,M03,0.8
SMS04000000600000001,2013,M04,0.2
SMS04000000600000001,2013,M05,1.1
SMS04000000600000001,2013,M06,1.3
SMS04000000600000001,2013,M07,0.8
SMS04000000600000001,2013,M08,0.1
SMS04000000600000001,2013,M09,0.3
SMS04000000600000001,2013,M10,0.7
SMS04000000600000001,2013,M11,0.2
SMS04000000600000001,2013,M12,-0.2
SMS04000000600000001,2014,M01,2.0
SMS04000000600000001,2014,M02,0.3
SMS04000000600000001,2014,M03,-0.7
SMS04000000600000001,2014,M04,0.1
SMS04000000600000001,2014,M05,-1.0
SMS04000000600000001,2014,M06,-1.3
SMS04000000600000001,2014,M07,-0.7
SMS04000000600000001,2014,M08,-0.1
SMS04000000600000001,2014,M09,0.1
SMS04000000600000001,2014,M10,1.0
SMS04000000600000001,2014,M11,0.7
SMS04000000600000001,2014,M12,0.3
SMS04000000600000001,2015,M01,-0.2
SMS04000000600000001,2015,M02,0.1
SMS04000000600000001,2015,M03,0.5
SMS04000000600000001,2015,M04,0.8
SMS04000000600000001,2015,M05,1.1
SMS04000000600000001,2015,M06,0.3
SMS04000000600000001,2015,M07,1.1
SMS04000000600000001,2015,M08,1.0
SMS04000000600000001,2015,M09,0.3
SMS04000000600000001,2015,M10,1.7
SMS04000000600000001,2015,M11,0.8
SMS04000000600000001,2015,M12,0.7
SMS04000000600000001,2016,M01,0.2
SMS04000000600000001,2016,M02,1.2
SMS04000000600000001,2016,M03,0.7
SMS04000000600000001,2016,M04,-0.4
SMS04000000600000001,2016,M05,0.5
SMS04000000600000001,2016,M06,0.8
SMS04000000600000001,2016,M07,1.1
SMS04000000600000001,2016,M08,0.7
SMS04000000600000001,2016,M09,0.5
SMS04000000600000001,2016,M10,0.0
SMS04000000600000001,2016,M11,0.6
SMS04000000600000001,2016,M12,1.8
SMS04000000600000001,2017,M01,1.4
SMS04000000600000001,2017,M02,1.5
SMS04000000600000001,2017,M03,1.3
SMS04000000600000001,2017,M04,1.2
SMS04000000600000001,2017,M05,1.4
SMS04000000600000001,2017,M06,2.1
SMS04000000600000001,2017,M07,2.0
SMS04000000600000001,2017,M08,1.5
SMS04000000600000001,2017,M09,2.1
SMS04000000600000001,2017,M10,1.3
SMS04000000600000001,2017,M11,2.0
SMS04000000600000001,2017,M12,3.2
SMS04000000600000001,2018,M01,0.9
SMS04000000600000001,2018,M02,1.8
SMS04000000600000001,2018,M03,0.2
SMS04000000600000001,2018,M04,1.9
SMS04000000600000001,2018,M05,3.3
SMS04000000600000001,2018,M06,3.1
SMS04000000600000001,2018,M07,1.1
SMS04000000600000001,2018,M08,1.5(P)

P : Preliminary


1-Month Net Change
Series Id:    SMS04000000700000001

Seasonally Adjusted
State:        Arizona
Area:         Statewide
Supersector:  Service-Providing
Industry:     Service-Providing
Data Type:    All Employees, In Thousands


Series Id,Year,Period,Value
SMS04000000700000001,2000,M01,6.9
SMS04000000700000001,2000,M02,7.7
SMS04000000700000001,2000,M03,7.3
SMS04000000700000001,2000,M04,2.4
SMS04000000700000001,2000,M05,13.3
SMS04000000700000001,2000,M06,-4.5
SMS04000000700000001,2000,M07,3.6
SMS04000000700000001,2000,M08,4.3
SMS04000000700000001,2000,M09,6.9
SMS04000000700000001,2000,M10,2.3
SMS04000000700000001,2000,M11,3.0
SMS04000000700000001,2000,M12,6.2
SMS04000000700000001,2001,M01,-4.8
SMS04000000700000001,2001,M02,7.2
SMS04000000700000001,2001,M03,3.8
SMS04000000700000001,2001,M04,-1.1
SMS04000000700000001,2001,M05,-4.7
SMS04000000700000001,2001,M06,1.5
SMS04000000700000001,2001,M07,1.4
SMS04000000700000001,2001,M08,0.6
SMS04000000700000001,2001,M09,2.7
SMS04000000700000001,2001,M10,-6.0
SMS04000000700000001,2001,M11,-3.3
SMS04000000700000001,2001,M12,-0.6
SMS04000000700000001,2002,M01,10.6
SMS04000000700000001,2002,M02,-3.2
SMS04000000700000001,2002,M03,6.3
SMS04000000700000001,2002,M04,11.6
SMS04000000700000001,2002,M05,-0.3
SMS04000000700000001,2002,M06,4.8
SMS04000000700000001,2002,M07,-4.9
SMS04000000700000001,2002,M08,5.2
SMS04000000700000001,2002,M09,-0.5
SMS04000000700000001,2002,M10,4.0
SMS04000000700000001,2002,M11,15.1
SMS04000000700000001,2002,M12,-5.5
SMS04000000700000001,2003,M01,1.4
SMS04000000700000001,2003,M02,2.8
SMS04000000700000001,2003,M03,2.5
SMS04000000700000001,2003,M04,2.7
SMS04000000700000001,2003,M05,3.6
SMS04000000700000001,2003,M06,2.5
SMS04000000700000001,2003,M07,3.2
SMS04000000700000001,2003,M08,6.0
SMS04000000700000001,2003,M09,1.1
SMS04000000700000001,2003,M10,11.8
SMS04000000700000001,2003,M11,3.1
SMS04000000700000001,2003,M12,4.8
SMS04000000700000001,2004,M01,5.3
SMS04000000700000001,2004,M02,3.5
SMS04000000700000001,2004,M03,6.7
SMS04000000700000001,2004,M04,6.2
SMS04000000700000001,2004,M05,9.3
SMS04000000700000001,2004,M06,7.1
SMS04000000700000001,2004,M07,8.7
SMS04000000700000001,2004,M08,6.7
SMS04000000700000001,2004,M09,0.1
SMS04000000700000001,2004,M10,20.1
SMS04000000700000001,2004,M11,3.4
SMS04000000700000001,2004,M12,8.9
SMS04000000700000001,2005,M01,0.7
SMS04000000700000001,2005,M02,9.8
SMS04000000700000001,2005,M03,5.5
SMS04000000700000001,2005,M04,16.8
SMS04000000700000001,2005,M05,9.1
SMS04000000700000001,2005,M06,6.3
SMS04000000700000001,2005,M07,13.2
SMS04000000700000001,2005,M08,7.8
SMS04000000700000001,2005,M09,10.9
SMS04000000700000001,2005,M10,-2.4
SMS04000000700000001,2005,M11,8.5
SMS04000000700000001,2005,M12,8.0
SMS04000000700000001,2006,M01,18.9
SMS04000000700000001,2006,M02,9.9
SMS04000000700000001,2006,M03,10.5
SMS04000000700000001,2006,M04,3.7
SMS04000000700000001,2006,M05,7.8
SMS04000000700000001,2006,M06,9.3
SMS04000000700000001,2006,M07,-0.1
SMS04000000700000001,2006,M08,8.7
SMS04000000700000001,2006,M09,8.9
SMS04000000700000001,2006,M10,4.0
SMS04000000700000001,2006,M11,3.2
SMS04000000700000001,2006,M12,5.5
SMS04000000700000001,2007,M01,3.1
SMS04000000700000001,2007,M02,7.4
SMS04000000700000001,2007,M03,9.3
SMS04000000700000001,2007,M04,-3.1
SMS04000000700000001,2007,M05,2.5
SMS04000000700000001,2007,M06,8.0
SMS04000000700000001,2007,M07,1.7
SMS04000000700000001,2007,M08,1.3
SMS04000000700000001,2007,M09,3.9
SMS04000000700000001,2007,M10,5.2
SMS04000000700000001,2007,M11,2.1
SMS04000000700000001,2007,M12,0.7
SMS04000000700000001,2008,M01,2.2
SMS04000000700000001,2008,M02,-1.8
SMS04000000700000001,2008,M03,-6.7
SMS04000000700000001,2008,M04,-3.9
SMS04000000700000001,2008,M05,-2.1
SMS04000000700000001,2008,M06,-5.1
SMS04000000700000001,2008,M07,-13.6
SMS04000000700000001,2008,M08,2.3
SMS04000000700000001,2008,M09,-9.5
SMS04000000700000001,2008,M10,-10.9
SMS04000000700000001,2008,M11,-11.1
SMS04000000700000001,2008,M12,-15.3
SMS04000000700000001,2009,M01,-13.1
SMS04000000700000001,2009,M02,-14.7
SMS04000000700000001,2009,M03,-11.8
SMS04000000700000001,2009,M04,-14.9
SMS04000000700000001,2009,M05,-4.4
SMS04000000700000001,2009,M06,-7.3
SMS04000000700000001,2009,M07,-2.9
SMS04000000700000001,2009,M08,-6.2
SMS04000000700000001,2009,M09,-8.8
SMS04000000700000001,2009,M10,-3.5
SMS04000000700000001,2009,M11,-1.8
SMS04000000700000001,2009,M12,-4.7
SMS04000000700000001,2010,M01,1.9
SMS04000000700000001,2010,M02,-0.1
SMS04000000700000001,2010,M03,2.5
SMS04000000700000001,2010,M04,3.2
SMS04000000700000001,2010,M05,13.0
SMS04000000700000001,2010,M06,-8.9
SMS04000000700000001,2010,M07,-4.7
SMS04000000700000001,2010,M08,-3.4
SMS04000000700000001,2010,M09,-6.5
SMS04000000700000001,2010,M10,10.6
SMS04000000700000001,2010,M11,3.1
SMS04000000700000001,2010,M12,6.4
SMS04000000700000001,2011,M01,1.0
SMS04000000700000001,2011,M02,2.3
SMS04000000700000001,2011,M03,2.7
SMS04000000700000001,2011,M04,6.1
SMS04000000700000001,2011,M05,3.8
SMS04000000700000001,2011,M06,-12.3
SMS04000000700000001,2011,M07,3.7
SMS04000000700000001,2011,M08,10.9
SMS04000000700000001,2011,M09,6.9
SMS04000000700000001,2011,M10,0.5
SMS04000000700000001,2011,M11,3.0
SMS04000000700000001,2011,M12,4.6
SMS04000000700000001,2012,M01,5.2
SMS04000000700000001,2012,M02,1.1
